Date,Product,Quantity,Price
2023-01-01,Samsung,50,600.00
2023-01-02,Apple,30,1000.00
2023-01-03,Xiaomi,70,300.00
2023-01-04,OPPO,40,350.00
2023-01-05,Vivo,60,400.00
2023-01-06,Samsung,55,620.00
2023-01-07,Apple,32,980.00
2023-01-08,Xiaomi,65,320.00
2023-01-09,OPPO,38,360.00
2023-02-01,Vivo,62,410.00
2023-02-05,Samsung,53,600.00
2023-02-10,Apple,31,990.00
2023-02-15,Xiaomi,68,310.00
2023-03-01,OPPO,37,355.00
2023-03-05,Vivo,59,405.00
2023-03-10,Samsung,54,610.00
2023-03-15,Apple,33,985.00
2023-04-01,Xiaomi,67,315.00
2023-04-05,OPPO,39,365.00
2023-04-10,Vivo,61,420.00
2023-04-15,Samsung,56,630.00
2023-04-20,Apple,34,970.00
2023-05-01,Xiaomi,66,305.00
2023-05-05,OPPO,36,350.00
2023-05-10,Vivo,58,415.00
2023-05-15,Samsung,57,640.00
2023-05-20,Apple,35,975.00
2023-06-01,Xiaomi,69,320.00
2023-06-05,OPPO,40,370.00
2023-06-10,Vivo,63,430.00
2023-06-15,Samsung,58,650.00
2023-06-20,Apple,36,960.00
2023-06-25,Xiaomi,64,325.00
2023-06-30,OPPO,41,380.00
